Date,Open,High,Low,Close,Adj_Close,Volume
2021-10-14,75.306297,75.353302,74.993401,75.306297,75.306297,0
2021-10-15,74.995003,75.212502,74.878098,74.995003,74.995003,0
2021-10-18,75.005997,75.521004,74.940498,75.005898,75.005898,0
2021-10-19,75.237999,75.267097,74.882004,75.235497,75.235497,0
2021-10-20,75.120201,75.182999,74.749802,75.120102,75.120102,0
2021-10-21,74.809303,74.912498,74.634003,74.809196,74.809196,0
2021-10-22,74.866501,75.0998,74.684601,74.865402,74.865402,0
2021-10-25,74.993797,75.274803,74.858002,74.993698,74.993698,0
2021-10-26,75.089897,75.1698,74.847603,75.089897,75.089897,0
2021-10-27,74.888901,75.093002,74.888901,74.888901,74.888901,0
2021-10-28,75.037697,75.322502,74.754501,75.050003,75.050003,0
2021-10-29,74.796997,75.025299,74.737999,74.797203,74.797203,0
2021-11-01,74.928398,75.186302,74.810501,74.928299,74.928299,0
2021-11-02,74.829903,74.909302,74.613297,74.829903,74.829903,0
2021-11-03,74.712303,74.765503,74.407997,74.711998,74.711998,0
2021-11-04,74.435501,74.554001,74.235001,74.435501,74.435501,0
2021-11-05,74.478104,74.580498,74.050598,74.478104,74.478104,0
2021-11-08,74.191002,74.276802,73.906998,74.191101,74.191101,0
2021-11-09,73.917099,74.152496,73.830299,73.918503,73.918503,0
2021-11-10,74.174797,74.407997,74.051498,74.174797,74.174797,0
2021-11-11,74.404999,74.578499,74.272797,74.4049,74.4049,0
2021-11-12,74.326698,74.528702,74.293503,74.322098,74.322098,0
2021-11-15,74.347,74.588303,74.3125,74.339996,74.339996,0
2021-11-16,74.433899,74.619003,74.277702,74.435097,74.435097,0
2021-11-17,74.459503,74.552299,74.221802,74.458603,74.458603,0
2021-11-18,74.259598,74.335197,74.017998,74.259804,74.259804,0
2021-11-19,74.175697,74.482803,74.157997,74.1744,74.1744,0
2021-11-22,74.310699,74.734398,74.265503,74.302597,74.302597,0
2021-11-23,74.429802,74.581497,74.359001,74.429802,74.429802,0
2021-11-24,74.446999,74.732498,74.191498,74.446999,74.446999,0
2021-11-25,74.624802,74.624802,74.447304,74.625,74.625,0
2021-11-26,74.506798,75.115898,74.471497,74.505798,74.505798,0
2021-11-29,75.052803,75.156502,74.5355,74.981598,74.981598,0
2021-11-30,75.055,75.206497,74.843002,75.054901,75.054901,0
2021-12-01,75.056198,75.0793,74.719002,75.050903,75.050903,0
2021-12-02,75.017899,75.259804,74.867798,75.017899,75.017899,0
2021-12-03,74.980904,75.3284,74.929001,74.983498,74.983498,0
2021-12-06,75.472298,75.472504,75.077003,75.234001,75.234001,0
2021-12-07,75.391296,75.486397,75.258003,75.391296,75.391296,0
2021-12-08,75.408203,75.560501,75.3255,75.4086,75.4086,0
2021-12-09,75.383202,75.903,75.346497,75.383301,75.383301,0
2021-12-10,75.599297,75.9739,75.491501,75.599197,75.599197,0
2021-12-13,75.942299,75.9711,75.360497,75.709999,75.709999,0
2021-12-14,75.828499,76.259003,75.767998,75.826897,75.826897,0
2021-12-15,76.0457,76.4823,76.013496,76.047203,76.047203,0
2021-12-16,76.211403,76.313004,76.056,76.211403,76.211403,0
2021-12-17,76.167503,76.362503,75.878998,76.167503,76.167503,0
2021-12-20,76.052299,76.172897,75.780998,76.005997,76.005997,0
2021-12-21,75.758698,75.782997,75.402,75.758698,75.758698,0
2021-12-22,75.686401,75.929802,75.423103,75.686401,75.686401,0
2021-12-23,75.458504,75.485497,75.0065,75.458504,75.458504,0
2021-12-24,75.067398,75.192001,74.969002,75.067398,75.067398,0
2021-12-27,75.115196,75.142998,74.9086,75.315002,75.315002,0
2021-12-28,74.980301,75.2248,74.579498,74.980301,74.980301,0
2021-12-29,74.738602,74.836403,74.502998,74.745003,74.745003,0
2021-12-30,74.570297,74.646202,74.293999,74.570297,74.570297,0
2021-12-31,74.432297,74.642502,74.089996,74.431198,74.431198,0
2022-01-03,74.5159,74.520302,74.152,74.513802,74.513802,0
2022-01-04,74.403297,74.770302,74.403297,74.403297,74.403297,0
2022-01-05,74.535004,74.614998,74.205399,74.534897,74.534897,0
2022-01-06,74.430298,74.703499,74.32,74.430099,74.430099,0
2022-01-07,74.418198,74.637299,74.223503,74.419296,74.419296,0
2022-01-10,74.230598,74.464798,73.989998,74.269997,74.269997,0
2022-01-11,74.056999,74.267303,73.744797,74.056999,74.056999,0
2022-01-12,73.815399,74.034302,73.697502,73.8153,73.8153,0
2022-01-13,73.782799,74.063797,73.782799,73.799103,73.799103,0
2022-01-14,73.972099,74.203201,73.875504,73.972298,73.972298,0
2022-01-17,74.156097,74.360001,74.124702,74.378998,74.378998,0
2022-01-18,74.255402,74.614098,74.1455,74.255096,74.255096,0
2022-01-19,74.619499,74.834801,74.348999,74.619698,74.619698,0
2022-01-20,74.449303,74.652496,74.296501,74.449203,74.449203,0
2022-01-21,74.438499,74.629997,74.294403,74.452202,74.452202,0
2022-01-24,74.420303,74.742699,74.316101,74.4132,74.4132,0
2022-01-25,74.644897,74.834801,74.538498,74.644798,74.644798,0
2022-01-26,74.779999,75.001503,74.685997,74.779999,74.779999,0
2022-01-27,74.902298,75.319099,74.902298,74.894997,74.894997,0
2022-01-28,75.209297,75.366997,74.879097,75.209297,75.209297,0
2022-01-31,75.046097,75.188797,74.590202,75.039001,75.039001,0
2022-02-01,74.555702,74.862503,74.4328,74.555801,74.555801,0
2022-02-02,74.744904,75.004097,74.647797,74.745499,74.745499,0
2022-02-03,74.814796,74.934502,74.634201,74.822403,74.822403,0
2022-02-04,74.643898,74.928001,74.585098,74.643898,74.643898,0
2022-02-07,74.646202,74.784897,74.539001,74.642197,74.642197,0
2022-02-08,74.656601,74.794502,74.577904,74.658302,74.658302,0
2022-02-09,74.695503,74.944901,74.6185,74.695198,74.695198,0
2022-02-10,74.808998,75.286003,74.762001,74.808899,74.808899,0
2022-02-11,75.538399,75.539299,75.094002,75.538399,75.538399,0
2022-02-14,75.642899,75.703796,75.380302,75.341003,75.341003,0
2022-02-15,75.685402,75.727203,75.214996,75.685402,75.685402,0
2022-02-16,75.174797,75.291298,74.964996,75.174797,75.174797,0
2022-02-17,75.0495,75.303001,74.946297,75.042,75.042,0
2022-02-18,75.069801,75.269501,74.481003,75.063004,75.063004,0
2022-02-21,74.686897,74.726501,74.352997,74.682404,74.682404,0
2022-02-22,74.523804,74.992401,74.523804,74.516998,74.516998,0
2022-02-23,74.623001,74.859001,74.5,74.623001,74.623001,0
2022-02-24,74.639801,75.901001,74.629501,74.633003,74.633003,0
2022-02-25,75.408302,75.6595,75.064499,75.408302,75.408302,0
2022-02-28,75.055199,75.786003,74.900002,75.068001,75.068001,0
2022-03-01,75.284798,75.895103,75.212196,75.284798,75.284798,0
2022-03-02,75.801102,76.096497,75.428299,75.801201,75.801201,0
2022-03-03,75.638298,76.018997,75.571999,75.630997,75.630997,0
2022-03-04,75.886803,76.524101,75.885002,75.891701,75.891701,0
2022-03-07,76.4207,77.156799,76.4207,76.417999,76.417999,0
2022-03-08,77.080803,77.373497,76.730003,77.080803,77.080803,0
2022-03-09,76.914497,77.286499,76.315804,76.914497,76.914497,0
2022-03-10,76.134903,76.481003,75.898697,76.134903,76.134903,0
2022-03-11,76.310303,76.706497,76.254501,76.310303,76.310303,0
2022-03-14,76.759003,76.759102,76.342499,76.7537,76.7537,0
2022-03-15,76.490097,76.981499,76.304497,76.490097,76.490097,0
2022-03-16,76.293198,76.638,76.042,76.2659,76.2659,0
2022-03-17,76.0242,76.238503,75.759003,76.0242,76.0242,0
2022-03-18,75.981598,76.206497,75.912498,75.981598,75.981598,0
2022-03-21,75.946404,76.277298,75.891998,75.946404,75.946404,0
2022-03-22,76.290001,76.689003,75.984497,76.307098,76.307098,0
2022-03-23,76.101898,76.5084,75.976997,76.101898,76.101898,0
2022-03-24,76.552498,76.841499,76.178398,76.552399,76.552399,0
2022-03-25,76.323502,76.606499,76.117996,76.323502,76.323502,0
2022-03-28,76.278503,76.626503,76.043701,76.278503,76.278503,0
2022-03-29,76.034103,76.2995,75.564697,76.034103,76.034103,0
2022-03-30,75.666702,75.972,75.561501,75.666702,75.666702,0
2022-03-31,75.827797,76.058296,75.639503,75.827797,75.827797,0
2022-04-01,75.909203,76.1558,75.843002,75.909203,75.909203,0
2022-04-04,75.994797,75.996399,75.3657,75.994797,75.994797,0
2022-04-05,75.477997,75.542,75.2575,75.477997,75.477997,0
2022-04-06,75.450699,76.033997,75.370003,75.450699,75.450699,0
2022-04-07,75.945099,76.154503,75.774597,75.945099,75.945099,0
2022-04-08,75.9132,76.0625,75.708,75.9132,75.9132,0
2022-04-11,75.917297,76.139801,75.763496,75.917297,75.917297,0
2022-04-12,75.836998,76.2005,75.836304,75.836998,75.836998,0
2022-04-13,76.149803,76.263496,75.975998,76.149803,76.149803,0
2022-04-14,76.121696,76.329498,76.056999,76.121696,76.121696,0
2022-04-15,76.3088,76.595497,76.233597,76.3088,76.3088,0
2022-04-18,76.331398,76.456497,76.074501,76.331398,76.331398,0
2022-04-19,76.280197,76.561203,76.2155,76.280197,76.280197,0
2022-04-20,76.445396,76.656502,76.153,76.445396,76.445396,0
2022-04-21,76.276199,76.366402,76.0839,76.276199,76.276199,0
2022-04-22,76.285202,76.746002,76.150002,76.285202,76.285202,0
2022-04-25,76.463501,76.763397,76.324997,76.463501,76.463501,0
2022-04-26,76.527802,76.811501,76.424301,76.527802,76.527802,0
2022-04-27,76.794098,77.038002,76.4879,76.794098,76.794098,0
2022-04-28,76.472198,76.788696,76.411499,76.472198,76.472198,0
2022-04-29,76.588997,76.829803,76.268402,76.588997,76.588997,0
2022-05-02,76.523102,76.597801,76.348,76.523102,76.523102,0
2022-05-03,76.524101,76.817497,76.453003,76.524101,76.524101,0
2022-05-04,76.4673,76.567497,76.167999,76.4673,76.4673,0
2022-05-05,76.001602,76.572601,75.994003,76.001602,76.001602,0
2022-05-06,76.541801,77.069298,76.466499,76.541801,76.541801,0
2022-05-09,76.957497,77.518997,76.927498,76.957497,76.957497,0
2022-05-10,77.365501,77.460999,77.112503,77.365501,77.365501,0
2022-05-11,77.2714,77.518501,77.154503,77.2714,77.2714,0
2022-05-12,77.418404,77.725998,77.278999,77.418404,77.418404,0
2022-05-13,77.443802,77.558502,77.256798,77.443802,77.443802,0
2022-05-16,77.486298,77.913498,77.480003,77.486298,77.486298,0
2022-05-17,77.805397,78.023804,77.369003,77.805397,77.805397,0
2022-05-18,77.372398,77.745003,77.276497,77.372398,77.372398,0
2022-05-19,77.82,78.009804,77.213501,77.82,77.82,0
2022-05-20,77.421097,77.820503,77.344498,77.421097,77.421097,0
2022-05-23,77.818398,77.969803,77.420799,77.818398,77.818398,0
2022-05-24,77.526802,77.665001,77.498497,77.526802,77.526802,0
2022-05-25,77.478798,77.748001,77.434998,77.478798,77.478798,0
2022-05-26,77.497299,77.723999,77.468498,77.497299,77.497299,0
2022-05-27,77.630203,77.899597,77.527,77.630203,77.630203,0
2022-05-30,77.692001,77.829498,77.462799,77.692001,77.692001,0
2022-05-31,77.520897,77.735298,77.552803,77.520897,77.520897,0
2022-06-01,77.598999,77.941704,77.436501,77.598999,77.598999,0
2022-06-02,77.584099,77.816498,77.3862,77.584099,77.584099,0
2022-06-03,77.360497,77.686401,77.389801,77.360497,77.360497,0
2022-06-06,77.694199,77.8461,77.547501,77.694199,77.694199,0
2022-06-07,77.820999,78.059799,77.588997,77.820999,77.820999,0
2022-06-08,77.670601,77.906303,77.596001,77.670601,77.670601,0
2022-06-09,77.724297,77.982002,77.676498,77.724297,77.724297,0
2022-06-10,77.818703,78.193802,77.734497,77.818703,77.818703,0
2022-06-13,78.177597,78.406799,77.956001,78.177597,78.177597,0
2022-06-14,78.160599,78.3638,77.929001,78.160599,78.160599,0
2022-06-15,77.985497,78.218498,77.964996,77.985497,77.985497,0
2022-06-16,77.9002,78.264801,77.882004,77.9002,77.9002,0
2022-06-17,77.977699,78.189499,77.937401,77.977699,77.977699,0
2022-06-20,77.961403,78.172501,77.859901,77.961403,77.961403,0
2022-06-21,77.933998,78.272797,77.872498,77.933998,77.933998,0
2022-06-22,78.134903,78.400803,78.070099,78.134903,78.134903,0
2022-06-23,78.1931,78.419502,78.139999,78.1931,78.1931,0
2022-06-24,78.142403,78.358002,78.1185,78.142403,78.142403,0
2022-06-27,78.252296,78.5625,78.158501,78.252296,78.252296,0
2022-06-28,78.441101,79.039497,78.4105,78.441101,78.441101,0
2022-06-29,79.073196,79.073601,78.602402,79.073196,79.073196,0
2022-06-30,78.8983,79.108002,78.838699,78.8983,78.8983,0
2022-07-01,78.962997,79.191002,78.473,78.962997,78.962997,0
2022-07-04,78.950699,79.045303,78.846497,78.950699,78.950699,0
2022-07-05,78.939499,79.420998,78.914497,78.939499,78.939499,0
2022-07-06,79.368401,79.548302,78.929901,79.368401,79.368401,0
2022-07-07,79.0439,79.25,78.877998,79.0439,79.0439,0
2022-07-08,79.221603,79.422798,79.110497,79.221603,79.221603,0
2022-07-11,79.331398,79.577103,79.141998,79.331398,79.331398,0
2022-07-12,79.477798,79.860298,79.388496,79.477798,79.477798,0
2022-07-13,79.476402,80.059502,79.425003,79.476402,79.476402,0
2022-07-14,79.807503,80.218697,79.598099,79.807503,79.807503,0
2022-07-15,79.878304,80.0895,79.708,79.878304,79.878304,0
2022-07-18,79.720497,80.255997,79.713699,79.720497,79.720497,0
2022-07-19,80.030296,80.148499,79.8526,80.030296,80.030296,0
2022-07-20,79.855904,80.1185,79.855904,79.855904,79.855904,0
2022-07-21,80.003403,80.271004,79.761002,80.003403,80.003403,0
2022-07-22,79.775902,80.0765,79.779297,79.775902,79.775902,0
2022-07-25,79.876801,80.144798,79.686096,79.876801,79.876801,0
2022-07-26,79.722504,79.842201,79.702499,79.722504,79.722504,0
2022-07-27,79.841202,80.070801,79.747498,79.841202,79.841202,0
2022-07-28,79.847397,80.057297,79.597397,79.847397,79.847397,0
2022-07-29,79.571503,79.656502,79.173698,79.571503,79.571503,0
2022-08-01,79.194801,79.429802,78.899399,79.194801,79.194801,0
2022-08-02,78.955704,79.169998,77.7743,78.955704,78.955704,0
2022-08-03,78.6045,79.2033,78.568001,78.6045,78.6045,0
2022-08-04,79.118301,79.800003,79.008499,79.118301,79.118301,0
2022-08-05,79.1549,79.491997,78.918503,79.1549,79.1549,0
2022-08-08,79.410599,79.757004,79.313004,79.410599,79.410599,0
2022-08-09,79.601898,79.814697,79.442101,79.601898,79.601898,0
2022-08-10,79.5784,79.754501,79.007004,79.5784,79.5784,0
2022-08-11,79.097801,79.792297,79.0495,79.097801,79.097801,0
2022-08-12,79.613998,79.936996,79.556,79.613998,79.613998,0
2022-08-15,79.627602,79.7285,79.470802,79.627602,79.627602,0
2022-08-16,79.552902,79.779999,79.261002,79.552902,79.552902,0
2022-08-17,79.146004,79.685097,79.146004,79.146004,79.146004,0
2022-08-18,79.359703,79.862503,79.336502,79.359703,79.359703,0
2022-08-19,79.766701,80.112503,79.657097,79.766701,79.766701,0
2022-08-22,79.9179,80.1548,79.762001,79.9179,79.9179,0
2022-08-23,79.883797,80.098,79.502998,79.883797,79.883797,0
2022-08-24,79.8545,80.084999,79.698898,79.8545,79.8545,0
2022-08-25,79.796799,80.026299,79.737396,79.796799,79.796799,0
2022-08-26,79.882896,80.133499,79.716003,79.882896,79.882896,0
2022-08-29,79.959099,80.129501,79.873398,79.959099,79.959099,0
2022-08-30,79.967903,80.160797,79.432503,79.967903,79.967903,0
2022-08-31,79.682297,79.743797,79.352997,79.682297,79.682297,0
2022-09-01,79.548798,79.834999,79.279503,79.548798,79.548798,0
2022-09-02,79.716797,80.091499,79.586502,79.716797,79.716797,0
2022-09-05,79.724503,80.025497,79.655296,79.724503,79.724503,0
2022-09-06,79.782997,79.968002,79.709999,79.782997,79.782997,0
2022-09-07,79.895103,80.141998,79.796501,79.895103,79.895103,0
2022-09-08,79.649803,79.945999,79.636299,79.649803,79.649803,0
2022-09-09,79.706299,79.937798,79.454002,79.706299,79.706299,0
2022-09-12,79.6558,79.741997,79.324997,79.6558,79.6558,0
2022-09-13,79.355301,79.5905,79.023003,79.355301,79.355301,0
2022-09-14,79.602402,79.805,79.383598,79.602402,79.602402,0
2022-09-15,79.453697,80.016296,79.431602,79.453697,79.453697,0
2022-09-16,79.849098,80.013298,79.098602,79.849098,79.849098,0
2022-09-19,79.689499,79.957802,79.585297,79.689499,79.689499,0
2022-09-20,79.707497,79.9925,79.5765,79.707497,79.707497,0
2022-09-21,79.762703,80.155998,79.762497,79.762703,79.762703,0
2022-09-22,80.050697,81.111603,79.929001,80.050697,80.050697,0
2022-09-23,81.062202,81.338097,80.784798,81.062202,81.062202,0
2022-09-26,81.254799,81.717499,80.733002,81.254799,81.254799,0
2022-09-27,81.615799,81.861,81.286301,81.615799,81.615799,0
2022-09-28,81.724602,82.112999,81.496101,81.724602,81.724602,0
2022-09-29,81.428703,82.055496,81.407501,81.428703,81.428703,0
2022-09-30,81.480598,81.697601,81.0998,81.480598,81.480598,0
2022-10-03,81.521301,82.061996,81.411301,81.521301,81.521301,0
2022-10-04,81.495003,81.856003,81.272598,81.495003,81.495003,0
2022-10-05,81.4655,81.826797,81.265999,81.4655,81.4655,0
2022-10-06,81.648804,82.481499,81.438004,81.648804,81.648804,0
2022-10-07,82.348999,82.626297,82.044998,82.348999,82.348999,0
2022-10-10,82.832298,83.064301,82.258499,82.832298,82.832298,0
2022-10-11,82.4207,82.75,82.138496,82.4207,82.4207,0
2022-10-12,82.273903,82.616501,82.154602,82.273903,82.273903,0
2022-10-13,82.199997,82.887001,82.120003,82.199997,82.199997,0
2022-10-14,82.192101,82.605499,82.124001,82.192101,82.192101,0
2022-10-17,82.412804,82.647003,82.106003,82.412804,82.412804,0
2022-10-18,82.194702,82.679497,82.011803,82.194702,82.194702,0
2022-10-19,82.2864,83.386002,82.172501,82.2864,82.2864,0
2022-10-20,82.997002,83.324997,82.546997,82.997002,82.997002,0
2022-10-21,82.825699,83.220001,82.562302,82.825699,82.825699,0
2022-10-24,82.541298,83.068901,82.541298,82.541298,82.541298,0
2022-10-25,82.761497,83.137497,82.43,82.761497,82.761497,0
2022-10-26,82.445297,82.550598,81.924202,82.445297,82.445297,0
2022-10-27,82.049599,82.706497,81.928299,82.049599,82.049599,0
2022-10-28,82.442497,82.781303,82.278,82.442497,82.442497,0
2022-10-31,82.239197,83.123001,82.193001,82.239197,82.239197,0
2022-11-01,82.728996,83.070801,82.503502,82.728996,82.728996,0
2022-11-02,82.684502,83.027,82.591301,82.684502,82.684502,0
2022-11-03,82.888397,82.9963,82.6688,82.888397,82.888397,0
2022-11-04,82.681801,82.991798,82.002098,82.681801,82.681801,0
2022-11-07,81.974998,82.371803,81.792503,81.974998,81.974998,0
2022-11-08,81.825996,82.081802,81.172897,81.825996,81.825996,0
2022-11-09,81.405197,81.6698,81.1903,81.405197,81.405197,0
2022-11-10,81.343803,81.910004,80.727097,81.343803,81.343803,0
2022-11-11,80.482903,80.983002,80.423798,80.482903,80.482903,0
2022-11-14,80.497002,81.287399,80.3731,80.497002,80.497002,0
2022-11-15,80.964996,81.445,80.964996,81.330002,81.330002,0
